"","W1","W2","W3","W4","W5","Count"
"1","einen","guten","start","in","die",48
"2","start","in","die","neue","woche",38
"3","guten","start","in","die","neue",29
"4","guten","start","in","die","woche",24
"5","handelt","es","sich","um","eine",18
"6","auf","dem","weg","in","die",17
"7","was","ist","denn","das","für",16
"8","allen","einen","guten","start","in",15
"9","auf","der","suche","nach","einem",15
"10","in","den","griff","zu","bekommen",15
"11","mehr","als","die","hälfte","der",14
"12","ich","wünsche","euch","einen","schönen",13
"13","auf","dem","weg","nach","hause",13
"14","ich","wünsche","euch","allen","einen",13
"15","die","art","und","weise","wie",13
"16","wie","geil","ist","das","denn",12
"17","euch","einen","guten","start","in",12
"18","und","einen","guten","start","in",12
"19","wir","freuen","uns","auf","euch",12
"20","guten","rutsch","ins","neue","jahr",12
"21","wünsche","euch","allen","einen","schönen",12
"22","es","kann","nicht","sein","dass",12
"23","auf","der","suche","nach","einer",11
"24","das","ist","auch","gut","so",11
"25","two","and","a","half","men",11
"26","was","ist","das","denn","für",11
"27","ich","freu","mich","schon","auf",11
"28","im","wahrsten","sinne","des","wortes",11
"29","in","einer","zeit","in","der",11
"30","ursula","von","der","leyen","cdu",11
"31","in","den","ersten","neun","monaten",11
"32","auf","dem","weg","zur","arbeit",10
"33","derzeitige","prima","#primzahl","ist","die",10
"34","nur","eine","frage","der","zeit",10
"35","die","staats","und","regierungschefs","der",10
"36","in","den","vergangenen","zehn","jahren",10
"37","guten","morgen","und","einen","schönen",9
"38","vielen","dank","an","alle","die",9
"39","gewidmet","warum","ich","#primzahlen","twittere",9
"40","warum","ich","#primzahlen","twittere","keine",9
"41","ich","#primzahlen","twittere","keine","ahnung",9
"42","einen","guten","rutsch","ins","neue",9
"43","ich","gehe","davon","aus","dass",9
"44","bin","ich","froh","dass","ich",9
"45","schritt","in","die","richtige","richtung",9
"46","in","der","nacht","zum","donnerstag",9
"47","einen","guten","morgen","und","einen",8
"48","wieder","auf","dem","weg","nach",8
"49","was","ist","das","für","ein",8
"50","ist","denn","das","für","ein",8
"51","und","das","ist","auch","gut",8
"52","euch","allen","einen","guten","start",8
"53","sex","in","berlin","im","handel",8
"54","in","berlin","im","handel","und",8
"55","berlin","im","handel","und","portofrei",8
"56","im","handel","und","portofrei","für",8
"57","handel","und","portofrei","für","9,80",8
"58","und","portofrei","für","9,80","bei",8
"59","portofrei","für","9,80","bei","amazon.de",8
"60","für","9,80","bei","amazon.de","oder",8
"61","9,80","bei","amazon.de","oder","buecher.de",8
"62","dir","auch","einen","guten","morgen",8
"63","lesen","kann","ist","klar","im",8
"64","kann","ist","klar","im","vorteil",8
"65","das","ist","hier","die","frage",8
"66","ich","weiß","nicht","ob","ich",8
"67","7","was","das","wochenende","angeht",8
"68","was","das","wochenende","angeht","heute",8
"69","das","wochenende","angeht","heute","abend",8
"70","wochenende","angeht","heute","abend","freue",8
"71","angeht","heute","abend","freue","ich",8
"72","heute","abend","freue","ich","mich",8
"73","abend","freue","ich","mich","auf",8
"74","in","polen","und","der","ukraine",8
"75","in","der","nacht","zum","montag",8
"76","seit","mehr","als","zehn","jahren",8
"77","im","gespräch","mit","unserer","zeitung",8
"78","ich","geh","jetzt","ins","bett",7
"79","noch","nie","in","meinem","leben",7
"80","ich","schon","lange","nicht","mehr",7
"81","wünsche","euch","einen","guten","start",7
"82","ein","tolles","wochenende","und","viel",7
"83","tolles","wochenende","und","viel","spaß",7
"84","wochenende","und","viel","spaß","im",7
"85","und","viel","spaß","im","kino",7
"86","sieht","so","aus","als","ob",7
"87","das","wünsche","ich","dir","auch",7
"88","was","tut","man","nicht","alles",7
"89","auch","nicht","mehr","das","was",7
"90","freu","mich","schon","auf","die",7
"91","wünsche","allen","eine","gute","nacht",7
"92","danke","an","alle","die","da",7
"93","an","alle","die","da","waren",7
"94","robert","cias","debütroman","sex","in",7
"95","cias","debütroman","sex","in","berlin",7
"96","debütroman","sex","in","berlin","im",7
"97","müde","bin","ich","geh","zur",7
"98","und","das","ist","gut","so",7
"99","ich","freue","mich","auf","die",7
"100","in","einer","welt","in","der",7
"101","wer","lesen","kann","ist","klar",7
"102","wenn","das","so","weiter","geht",7
"103","guten","morgen","in","die","runde",7
"104","ich","bin","dann","mal","weg",7
"105","auf","die","suche","nach","einem",7
"106","wünsche","allen","ein","schönes","wochenende",7
"107","ich","würde","mich","freuen","wenn",7
"108","geplant","und","sonntag","möchte","ich",7
"109","das","gilt","auch","für","die",7
"110","sieht","es","so","aus","als",7
"111","präsentierten","sich","die","aktienkurse","im",7
"112","sich","die","aktienkurse","im","nachbörslichen",7
"113","die","aktienkurse","im","nachbörslichen","amerikanischen",7
"114","aktienkurse","im","nachbörslichen","amerikanischen","handel",7
"115","im","nachbörslichen","amerikanischen","handel","am",7
"116","im","vergleich","zum","regulären","geschäft",7
"117","vergleich","zum","regulären","geschäft","der",7
"118","zum","regulären","geschäft","der","nasdaq",7
"119","regulären","geschäft","der","nasdaq","after",7
"120","geschäft","der","nasdaq","after","hours",7
"121","der","nasdaq","after","hours","indicator",7
"122","fannie","mae","und","freddie","mac",7
"123","heißt","es","in","der","studie",7
"124","einen","schönen","start","in","die",6
"125","wir","freuen","uns","auf","die",6
"126","einen","guten","rutsch","ins","jahr",6
"127","guten","rutsch","ins","jahr","2011",6
"128","vielen","dank","für","#ff","und",6
"129","euch","allen","eine","gute","nacht",6
"130","bin","ich","ja","mal","gespannt",6
"131","guten","morgen","mit","dem","spruch",6
"132","morgen","mit","dem","spruch","des",6
"133","mit","dem","spruch","des","tages",6
"134","wünsche","euch","ein","schönes","wochenende",6
"135","ich","kann","mich","nicht","entscheiden",6
"136","#ff","und","ein","schönes","wochenende",6
"137","wünsche","einen","guten","start","in",6
"138","ist","denn","das","für","eine",6
"139","danke","für","den","tipp","ich",6
"140","habe","mich","sehr","darüber","gefreut",6
"141","ich","weiß","immer","noch","nicht",6
"142","vielen","dank","für","den","hinweis",6
"143","ich","drück","dir","die","daumen",6
"144","ist","das","denn","für","ein",6
"145","einen","guten","start","in","den",6
"146","sind","wir","nicht","alle","ein",6
"147","wir","wünschen","euch","einen","guten",6
"148","ich","wünsche","euch","allen","ein",6
"149","kann","mir","nicht","vorstellen","dass",6
"150","wir","freuen","uns","auf","den",6
"151","dann","bin","ich","mal","gespannt",6
"152","jetzt","muss","ich","nur","noch",6
"153","freu","mich","schon","auf","den",6
"154","wir","freuen","uns","auf","sie",6
"155","wir","freuen","uns","schon","auf",6
"156","mal","sehen","wie","lange","ich",6
"157","da","bin","ich","aber","froh",6
"158","ist","ja","nicht","so","dass",6
"159","was","ist","denn","da","los",6
"160","bin","auf","der","suche","nach",6
"161","wie","wäre","es","mit","einem",6
"162","ich","freu","mich","auf","den",6
"163","ich","wünsche","euch","einen","guten",6
"164","einen","guten","start","ins","wochenende",6
"165","bin","ich","mir","nicht","sicher",6
"166","es","handelt","sich","um","das",6
"167","kann","es","immer","noch","nicht",6
"168","die","vereinigten","staaten","von","amerika",6
"169","stellt","sich","die","frage","ob",6
"170","und","tippen","sie","anschließend","auf",6
"171","man","die","ultraschall","carvitation","und",6
"172","die","ultraschall","carvitation","und","das",6
"173","ultraschall","carvitation","und","das","ems",6
"174","carvitation","und","das","ems","training",6
"175","und","das","ems","training","miteinander",6
"176","das","ems","training","miteinander","wird",6
"177","ems","training","miteinander","wird","man",6
"178","dabei","handelt","es","sich","um",6
"179","auf","die","beine","zu","stellen",6
"180","in","den","vergangenen","drei","jahren",6
"181","hat","sich","in","den","vergangenen",6
"182","sich","in","den","vergangenen","monaten",6
"183","bundesarbeitsministerin","ursula","von","der","leyen",6
"184","es","so","aus","als","ob",6
"185","in","einem","gespräch","mit","der",6
"186","in","einem","interview","mit","der",6
"187","im","vergleich","zum","vorjahr","um",6
"188","hat","in","den","vergangenen","jahren",6
"189","sich","in","den","vergangenen","jahren",6
"190","ergebnis","vor","zinsen","und","steuern",6
"191","ministerpräsident","josé","luis","rodríguez","zapatero",6
"192","vor","zinsen","und","steuern","ebit",6
"193","in","der","nacht","zum","mittwoch",6
"194","handele","es","sich","um","eine",6
"195","kannte","ich","noch","gar","nicht",5
"196","na","da","bin","ich","aber",5
"197","da","bin","ich","mal","gespannt",5
"198","ich","hasse","es","wenn","ich",5
"199","vielen","dank","für","die","empfehlung",5
"200","ich","freue","mich","schon","sehr",5
"201","ich","das","noch","erleben","darf",5
"202","wir","wünschen","allen","einen","schönen",5
"203","paul","ein","alien","auf","der",5
"204","ein","alien","auf","der","flucht",5
"205","euch","allen","ein","schönes","wochenende",5
"206","morgen","ist","es","wieder","soweit",5
"207","wenn","du","denkst","es","geht",5
"208","du","denkst","es","geht","nicht",5
"209","denkst","es","geht","nicht","mehr",5
"210","kann","doch","nicht","wahr","sein",5
"211","bei","diana","in","gundelfingen","beim",5
"212","diana","in","gundelfingen","beim","rewe",5
"213","in","gundelfingen","beim","rewe","kommt",5
"214","gundelfingen","beim","rewe","kommt","alle",5
"215","beim","rewe","kommt","alle","und",5
"216","rewe","kommt","alle","und","bringt",5
"217","kommt","alle","und","bringt","eure",5
"218","das","erste","mal","dass","ich",5
"219","was","ist","der","unterschied","zwischen",5
"220","was","lange","währt","wird","endlich",5
"221","lange","währt","wird","endlich","gut",5
"222","ich","bin","mir","nicht","sicher",5
"223","wir","nicht","alle","ein","bisschen",5
"224","kann","mir","mal","jemand","erklären",5
"225","alles","gute","zum","geburtstag","und",5
"226","tut","man","nicht","alles","für",5
"227","auf","dem","weg","von","der",5
"228","es","ist","viel","zu","früh",5
"229","kenn","ich","nur","zu","gut",5
"230","das","was","es","mal","war",5
"231","allen","einen","guten","rutsch","ins",5
"232","ich","kann","so","nicht","arbeiten",5
"233","wünschen","euch","einen","guten","start",5
"234","wünscht","allen","einen","guten","start",5
"235","ist","es","endlich","so","weit",5
"236","ich","kann","mir","nicht","vorstellen",5
"237","einen","strich","durch","die","rechnung",5
"238","ist","gar","nicht","so","einfach",5
"239","da","hast","du","allerdings","recht",5
"240","bin","ich","geh","zur","ruh",5
"241","was","sein","muss","muss","sein",5
"242","bin","ich","aber","mal","gespannt",5
"243","vielen","dank","für","die","info",5
"244","man","stelle","sich","nur","vor",5
"245","wir","wünschen","euch","ein","schönes",5
"246","danke","für","die","schnelle","antwort",5
"247","die","welt","noch","in","ordnung",5
"248","alles","liebe","und","gute","zum",5
"249","liebe","und","gute","zum","geburtstag",5
"250","eine","frage","der","zeit","bis",5
"251","in","die","hand","zu","nehmen",5
"252","tag","der","offenen","tür","in",5
"253","in","deinem","land","nicht","verfügbar",5
"254","folgt","mir","nun","auf","twitter",5
"255","mir","nun","auf","twitter","yeah",5
"256","gehen","davon","aus","dass","sich",5
"257","ich","wünsche","allen","ein","schönes",5
"258","nur","noch","eine","frage","der",5
"259","noch","eine","frage","der","zeit",5
"260","in","den","letzten","zehn","jahren",5
"261","auf","die","suche","nach","einer",5
"262","das","kann","ja","heiter","werden",5
"263","und","was","mach","ich","jetzt",5
"264","ich","bin","ein","star","holt",5
"265","bin","ein","star","holt","mich",5
"266","ein","star","holt","mich","hier",5
"267","star","holt","mich","hier","raus",5
"268","sind","auf","der","suche","nach",5
"269","ich","kann","mir","vorstellen","dass",5
"270","zum","ersten","mal","in","meinem",5
"271","ersten","mal","in","meinem","leben",5
"272","ist","es","an","der","zeit",5
"273","wer","hat","an","der","uhr",5
"274","hat","an","der","uhr","gedreht",5
"275","in","der","stadt","in","der",5
"276","ich","freue","mich","schon","darauf",5
"277","euch","allen","ein","tolles","wochenende",5
"278","allen","ein","tolles","wochenende","und",5
"279","auf","der","suche","nach","den",5
"280","ich","kann","es","immer","noch",5
"281","wie","ein","roter","faden","durch",5
"282","in","diesem","sinne","wünsche","ich",5
"283","in","der","zeit","in","der",5
"284","von","der","ersten","bis","zur",5
"285","der","ersten","bis","zur","letzten",5
"286","in","einem","interview","mit","dem",5
"287","muskel","zur","kontraktion","an","wodurch",5
"288","zur","kontraktion","an","wodurch","die",5
"289","ich","bin","mir","sicher","dass",5
"290","seinen","körper","und","formt","die",5
"291","körper","und","formt","die","konturen",5
"292","bei","der","suche","nach","dem",5
"293","nur","auf","den","ersten","blick",5
"294","der","britische","premierminister","david","cameron",5
"295","steht","auf","einem","anderen","blatt",5
"296","auf","dem","weg","zu","einer",5
"297","in","der","nacht","zum","samstag",5
"298","in","einem","land","in","dem",5
"299","in","der","zweiten","hälfte","des",5
"300","zur","gestaltung","des","buchs","das",5
"301","gestaltung","des","buchs","das","cover",5
"302","stellt","sich","die","frage","wie",5
"303","ist","das","erste","mal","dass",5
"304","auf","der","anderen","seite","des",5
"305","es","sind","nicht","nur","die",5
"306","in","die","tat","umgesetzt","werden",5
"307","geht","es","vor","allem","um",5
"308","weniger","als","vor","einem","jahr",5
"309","in","den","vergangenen","wochen","und",5
"310","im","vergleich","zum","vorjahreszeitraum","um",5
"311","after","hours","indicator","stieg","um",5
"312","gespräch","mit","der","nachrichtenagentur","dpa",5
"313","prozent","im","vergleich","zum","vorjahr",5
"314","nicht","lange","auf","sich","warten",5
"315","hieß","es","in","einer","erklärung",5
"316","die","zeitung","unter","berufung","auf",5
"317","in","europa","und","den","usa",5
"318","wir","uns","auf","den","weg",5
"319","arbeitsministerin","ursula","von","der","leyen",5
"320","nach","informationen","von","welt","online",5
"321","sagte","er","der","süddeutschen","zeitung",5
"322","auf","den","tiefsten","stand","seit",5
"323","in","den","vereinigten","staaten","und",5
"324","20","bis","30","prozent","der",5
"325","mehr","als","90","prozent","der",5
"326","das","ergebnis","vor","zinsen","und",5
"327","des","französischen","präsidenten","nicolas","sarkozy",5
"328","der","new","york","stock","exchange",5
"329","der","französische","staatspräsident","nicolas","sarkozy",5
"330","auch","bundeskanzlerin","angela","merkel","cdu",5
"331","in","der","nacht","zum","freitag",5
"332","mehr","als","eine","halbe","million",5
"333","der","index","der","technologiebörse","nasdaq",5
"334","allen","einen","guten","morgen","und",4
"335","auf","dem","weg","nach","köln",4
"336","hab","ich","mir","auch","schon",4
"337","das","kommt","davon","wenn","man",4
"338","wir","freuen","uns","auf","interessante",4
"339","morgen","ist","auch","noch","ein",4
"340","und","einen","guten","rutsch","ins",4
"341","wir","freuen","uns","sehr","dass",4
"342","war","gar","nicht","so","schlimm",4
"343","mal","wieder","auf","dem","weg",4
"344","es","ist","nie","zu","spät",4
"345","ich","war","noch","nie","in",4
"346","nicht","mehr","und","nicht","weniger",4
"347","ich","bin","doch","gar","nicht",4
"348","tag","fängt","ja","gut","an",4
"349","vielen","dank","für","den","rt",4
"350","auf","dem","weg","zu","einem",4
"351","freuen","uns","auf","ihren","besuch",4
"352","guten","morgen","und","ein","schönes",4
"353","morgen","und","ein","schönes","wochenende",4
"354","das","ich","das","noch","erleben",4
"355","ich","glaube","nicht","dass","es",4
"356","ist","noch","nicht","zu","ende",4
"357","in","der","schweiz","und","in",4
"358","und","was","ist","mit","dem",4
"359","da","freu","ich","mich","aber",4
"360","wir","freuen","uns","auf","euren",4
"361","es","geht","nicht","mehr","kommt",4
"362","es","geht","doch","nichts","über",4
"363","nur","noch","wenige","tage","bis",4
"364","der","frühe","vogel","fängt","den",4
"365","frühe","vogel","fängt","den","wurm",4
"366","1","mal","in","meinem","leben",4
"367","das","kann","doch","nicht","wahr",4
"368","nicht","auf","den","kopf","gefallen",4
"369","an","die","8","11","90",4
"370","war","das","erste","mal","dass",4
"371","es","ist","wie","es","ist",4
"372","es","sieht","so","aus","als",4
"373","kommt","ne","frau","beim","arzt",4
"374","vielen","dank","für","die","schnelle",4
"375","bin","ich","eigentlich","der","einzige",4
"376","wünsche","euch","allen","einen","wunderschönen",4
"377","es","gibt","viel","zu","tun",4
"378","das","ist","doch","mal","was",4
"379","bin","ich","der","einzige","der",4
"380","noch","3","tage","bis","zum",4
"381","wäre","ja","auch","zu","schön",4
"382","ja","auch","zu","schön","gewesen",4
"383","da","hat","man","schon","mal",4
"384","die","schönste","stadt","der","welt",4
"385","weil","es","so","schön","ist",4
"386","ich","freue","mich","auf","den",4
"387","ist","auch","nicht","mehr","das",4
"388","so","ich","bin","dann","mal",4
"389","nichts","besseres","zu","tun","als",4
"390","freue","ich","mich","auf","die",4
"391","ich","bin","kein","freund","von",4
"392","das","erste","mal","in","meinem",4
"393","erste","mal","in","meinem","leben",4
"394","guten","start","in","den","tag",4
"395","ist","es","wieder","so","weit",4
"396","wünsche","dir","einen","schönen","tag",4
"397","wir","freuen","uns","auch","auf",4
"398","bin","auch","wieder","an","bord",4
"399","na","dann","bin","ich","mal",4
"400","auf","den","weg","zur","arbeit",4
"401","in","deutschland","österreich","und","der",4
"402","deutschland","österreich","und","der","schweiz",4
"403","es","gibt","doch","nichts","schöneres",4
"404","so","wird","das","nix","mit",4
"405","kennt","ihr","das","wenn","man",4
"406","stell","dir","vor","es","ist",4
"407","guten","morgen","und","einen","guten",4
"408","morgen","und","einen","guten","start",4
"409","lohnt","sich","auf","jeden","fall",4
"410","du","zeit","und","lust","hast",4
"411","nicht","das","gelbe","vom","ei",4
"412","was","für","ein","schöner","tag",4
"413","wie","wäre","es","denn","mit",4
"414","danke","für","den","hinweis","wir",4
"415","einen","erfolgreichen","start","in","die",4
"416","ich","bin","zu","alt","für",4
"417","es","kann","doch","nicht","sein",4
"418","kann","doch","nicht","sein","dass",4
"419","da","bin","ich","aber","mal",4
"420","nach","mainz","wiesbaden","frankfurt","oder",4
"421","mainz","wiesbaden","frankfurt","oder","weiter",4
"422","mal","sehen","was","der","tag",4
"423","ich","mich","auf","den","weg",4
"424","guten","morgen","und","einen","erfolgreichen",4
"425","wir","wünschen","euch","allen","einen",4
"426","ich","froh","dass","ich","nicht",4
"427","der","sinn","des","lebens","ist",4
"428","freue","mich","schon","auf","die",4
"429","hat","sich","in","den","letzten",4
"430","weit","aus","dem","fenster","gelehnt",4
"431","hab","ich","mich","auch","schon",4
"432","schlagzeilen","aus","einer","besseren","welt",4
"433","es","geht","nicht","um","die",4
"434","bin","mir","nicht","sicher","ob",4
"435","mich","mal","auf","den","weg",4
"436","hätte","nie","gedacht","dass","ich",4
"437","licht","am","ende","des","tunnels",4
"438","das","heißt","aber","nicht","dass",4
"439","menschen","plötzlich","sind","wenn","ein",4
"440","plötzlich","sind","wenn","ein","satz",4
"441","sind","wenn","ein","satz","anders",4
"442","wenn","ein","satz","anders","endet",4
"443","ein","satz","anders","endet","als",4
"444","satz","anders","endet","als","man",4
"445","anders","endet","als","man","es",4
"446","endet","als","man","es","kartoffel",4
"447","rt","man","stelle","sich","nur",4
"448","stelle","sich","nur","vor","die",4
"449","sich","nur","vor","die","leute",4
"450","nur","vor","die","leute","würden",4
"451","vor","die","leute","würden","zu",4
"452","die","leute","würden","zu","all",4
"453","leute","würden","zu","all","den",4
"454","würden","zu","all","den","plakatierten",4
"455","zu","all","den","plakatierten","parteiveranstaltungen",4
"456","all","den","plakatierten","parteiveranstaltungen","hingehen",4
"457","den","plakatierten","parteiveranstaltungen","hingehen","dann",4
"458","plakatierten","parteiveranstaltungen","hingehen","dann","müssten",4
"459","parteiveranstaltungen","hingehen","dann","müssten","plakatpartys",4
"460","einen","guten","start","ins","neue",4
"461","guten","start","ins","neue","jahr",4
"462","ich","wünsche","allen","einen","schönen",4
"463","ist","die","welt","noch","in",4
"464","ist","in","deinem","land","nicht",4
"465","noch","lange","nicht","am","ende",4
"466","dann","kann","ich","ja","jetzt",4
"467","unruhen","in","der","arabischen","welt",4
"468","das","gleiche","gilt","für","die",4
"469","bis","zu","einem","gewissen","grad",4
"470","und","dann","sind","da","noch",4
"471","dann","sind","da","noch","die",4
"472","am","morgen","vertreibt","kummer","und",4
"473","macht","sich","auf","den","weg",4
"474","vielen","dank","für","die","blumen",4
"475","wir","wünschen","allen","ein","schönes",4
"476","nur","für","den","fall","dass",4
"477","und","wir","freuen","uns","auf",4
"478","wann","ich","das","nächste","mal",4
"479","na","da","bin","ich","mal",4
"480","jetzt","auf","dem","weg","zum",4
"481","guten","morgen","welt","es","ist",4
"482","das","kann","ich","mir","vorstellen",4
"483","es","ist","nicht","so","dass",4
"484","wünsche","euch","einen","schönen","tag",4
"485","mich","auf","die","suche","nach",4
"486","auf","dem","weg","zum","flughafen",4
"487","gönnt","sich","ja","sonst","nichts",4
"488","ganz","oben","auf","der","liste",4
"489","ich","liebe","den","geruch","von",4
"490","guten","morgen","ich","wünsche","euch",4
"491","lasst","es","euch","gut","gehen",4
"492","der","link","funktioniert","leider","nicht",4
"493","und","was","macht","ihr","so",4
"494","berlin","berlin","wir","fahren","nach",4
"495","berlin","wir","fahren","nach","berlin",4
"496","wie","wäre","es","mal","mit",4
"497","einen","guten","start","in","eine",4
"498","vielen","dank","wir","freuen","uns",4
"499","zum","ersten","mal","in","dieser",4
"500","ersten","mal","in","dieser","saison",4
"501","es","gibt","zwei","arten","von",4
"502","so","dann","wollen","wir","mal",4
"503","eine","gute","nacht","und","einen",4
"504","das","leben","ist","zu","kurz",4
"505","auf","dem","weg","nach","berlin",4
"506","auf","dem","weg","zu","meinem",4
"507","an","dieser","stelle","möchte","ich",4
"508","es","nur","mir","so","vor",4
"509","ich","warte","immer","noch","auf",4
"510","wochenende","steht","vor","der","tür",4
"511","die","auf","der","suche","nach",4
"512","na","dann","wollen","wir","mal",4
"513","es","bei","euch","auch","so",4
"514","wie","kann","es","sein","dass",4
"515","jetzt","geht","es","um","die",4
"516","dann","wollen","wir","mal","sehen",4
"517","ich","freue","mich","auf","das",4
"518","ist","es","zu","verdanken","dass",4
"519","hierbei","handelt","es","sich","um",4
"520","die","würde","des","menschen","ist",4
"521","kann","ich","mir","nicht","vorstellen",4
"522","wie","kann","man","nur","so",4
"523","guten","morgen","guten","morgen","guten",4
"524","morgen","guten","morgen","guten","morgen",4
"525","guten","morgen","guten","morgen","sonnenschein",4
"526","keine","ahnung","was","das","ist",4
"527","ein","schönes","und","sonniges","wochenende",4
"528","auf","die","spur","zu","kommen",4
"529","ich","glaube","nicht","dass","der",4
"530","den","ganzen","tag","auf","der",4
"531","auch","auf","die","gefahr","hin",4
"532","im","gespräch","mit","spiegel","online",4
"533","man","gönnt","sich","ja","sonst",4
"534","ich","freue","mich","schon","auf",4
"535","es","gibt","noch","viel","zu",4
"536","das","ein","oder","andere","mal",4
"537","im","gegensatz","zu","den","anderen",4
"538","sieht","so","aus","als","wäre",4
"539","für","den","fall","dass","sie",4
"540","liebe","auf","den","ersten","blick",4
"541","mit","tränen","in","den","augen",4
"542","den","ausstieg","aus","der","atomenergie",4
"543","vielen","dank","für","die","vielen",4
"544","aus","dem","weg","zu","räumen",4
"545","euch","allen","einen","schönen","tag",4
"546","weiß","nicht","ob","ich","mich",4
"547","von","10","bis","18","uhr",4
"548","mir","nicht","sicher","ob","ich",4
"549","vor","nicht","allzu","langer","zeit",4
"550","noch","auf","der","suche","nach",4
"551","wird","sich","in","den","nächsten",4
"552","auch","das","ein","oder","andere",4
"553","habe","ich","zum","ersten","mal",4
"554","von","14","bis","18","uhr",4
"555","erhält","man","bei","dem","ems-training",4
"556","man","bei","dem","ems-training","eine",4
"557","ausrüstung","mit","daran","befestigten","elektroden",4
"558","mit","daran","befestigten","elektroden","diese",4
"559","daran","befestigten","elektroden","diese","elektroden",4
"560","der","zeit","die","ein","körperliches",4
"561","zeit","die","ein","körperliches","work-out",4
"562","die","ein","körperliches","work-out","benötigt",4
"563","ein","körperliches","work-out","benötigt","hätte",4
"564","hätte","die","elektroimpulse","sind","schmerzlos",4
"565","und","auch","bei","längerer","anwendung",4
"566","bis","s","zum","ende","der",4
"567","s","zum","ende","der","nacht",4
"568","ich","hätte","nie","gedacht","dass",4
"569","ich","vor","ein","paar","tagen",4
"570","auf","der","suche","nach","dem",4
"571","training","miteinander","wird","man","erfolgreich",4
"572","miteinander","wird","man","erfolgreich","und",4
"573","ich","wünsche","euch","allen","noch",4
"574","über","die","art","und","weise",4
"575","in","der","letzten","woche","habe",4
"576","der","letzten","woche","habe","ich",4
"577","von","einem","tag","auf","den",4
"578","in","den","griff","zu","kriegen",4
"579","ich","bin","schon","sehr","gespannt",4
"580","legt","man","beim","ems-training","nur",4
"581","durch","ems-training","erreicht","man","einen",4
"582","mit","salz","und","pfeffer","abschmecken",4
"583","in","der","new","york","times",4
"584","wir","haben","in","den","letzten",4
"585","einer","zeit","in","der","die",4
"586","in","eine","schüssel","geben","und",4
"587","sie","fallen","nicht","aus","und",4
"588","fallen","nicht","aus","und","haben",4
"589","nicht","aus","und","haben","keinen",4
"590","aus","und","haben","keinen","wundschmerz",4
"591","auch","die","eine","oder","andere",4
"592","und","so","weiter","und","so",4
"593","erreicht","man","nur","durch","die",4
"594","man","nur","durch","die","umwandlung",4
"595","nur","durch","die","umwandlung","von",4
"596","figur","die","von","dauer","ist",4
"597","die","von","dauer","ist","dies",4
"598","von","dauer","ist","dies","wird",4
"599","dauer","ist","dies","wird","mit",4
"600","ist","dies","wird","mit","der",4
"601","ich","hätte","nicht","gedacht","dass",4
"602","einem","bericht","der","bild","zeitung",4
"603","ich","bin","davon","überzeugt","dass",4
"604","uwe","m","uwe","b","und",4
"605","m","uwe","b","und","beate",4
"606","uwe","b","und","beate","z",4
"607","den","vergangenen","wochen","und","monaten",4
"608","lesen","sie","auf","der","nächsten",4
"609","sie","auf","der","nächsten","seite",4
"610","auch","in","diesem","jahr","wieder",4
"611","dass","es","sich","um","eine",4
"612","sprecher","von","eu-währungskommissar","olli","rehn",4
"613","nasdaq","after","hours","indicator","stieg",4
"614","die","europäische","zentralbank","ezb","hatte",4
"615","europäische","zentralbank","ezb","hatte","den",4
"616","zentralbank","ezb","hatte","den","referenzkurs",4
"617","ezb","hatte","den","referenzkurs","am",4
"618","bundeskanzlerin","angela","merkel","und","frankreichs",4
"619","nachbörslichen","amerikanischen","handel","am","montag",4
"620","amerikanischen","handel","am","montag","im",4
"621","handel","am","montag","im","vergleich",4
"622","am","montag","im","vergleich","zum",4
"623","montag","im","vergleich","zum","regulären",4
"624","im","falle","eines","schuldspruchs","drohen",4
